feature,p_value,f_score
n_customers,0.0,11389.624997135656
pairwise_skew,0.0,4094.708893864833
pairwise_kurtosis,0.0,8293.3613697704
pairwise_min,0.0,1880.2532924506693
nn_min,0.0,1880.2532924506693
k_num_clusters,0.0,2069.487380588433
mst_degree_max,0.0,2956.3681719115953
large_edge_count,0.0,5475.363299640531
mst_degree_mean,0.0,60421.63649811747
mst_degree_std,0.0,4851.252138247966
mst_diameter,0.0,2179.782550416001
pca_cum_evr_k2,0.0,12072.40710961793
mst_high_degree_count,0.0,6270.046495335298
avg_3nn_dist,0.0,1959.8124995205005
mst_edge_std,0.0,2338.187069377062
pca_evr_dim_0,0.0,20597.332342476697
pca_evr_dim_2,0.0,10844.380233850554
pca_evr_dim_3,0.0,8850.993824475298
pca_evr_dim_1,0.0,3753.86352267931
pca_evr_dim_4,0.0,3909.286496413526
nn_mean,3.1457928357938694e-299,1386.1442102818842
k_cost_ratio,3.207312153142521e-282,1305.7364824769631
nn_std_mean_ratio,3.087473736915855e-277,1282.2019221299431
dimension,2.0803722589708827e-271,1254.6907916222872
node_density,6.95034537126827e-266,1228.6320043108667
pca_ev_dim_2,3.6747614357915635e-263,1215.7903369806113
nn_ratio_2_3,1.4270591950681167e-259,1198.870155515098
avg_ln_n_nn_dist,7.602021783157403e-243,1120.096051152079
pca_ev_dim_3,3.4382306739042103e-239,1102.8977792479493
k_size_ratio,3.922274671849698e-219,1008.639878453275
pca_ev_dim_1,2.816125174732675e-197,906.1389356476537
k_total_intra_mst_cost,2.223963374559136e-191,878.5188181820961
mst_edge_min,7.500826694123675e-174,796.5244293198242
pca_ev_dim_4,1.556761566821039e-135,617.7872836254106
centroid_dist_min,2.2835222501195903e-132,603.048868623656
centroid_dist_std,7.343777390595708e-132,600.6879560108762
pairwise_q25,2.7103810880040533e-127,579.439511807468
nn_max,1.188265856184397e-119,543.9090021228242
mst_edge_kurtosis,2.211161737257008e-102,463.724283098887
nn_std,2.177159747193189e-99,449.84216550966045
nn_iqr,9.407679468637803e-98,442.25868590703766
centroid_dist_mean,1.638548964376342e-95,431.8706722726008
mst_edge_skew,3.3389247413784164e-83,374.8615178391128
bounding_hypervolume,4.535860215997151e-77,346.4891768546459
pairwise_q10,1.44961060876183e-76,344.1558695071978
pairwise_q50,2.4938898241461586e-70,315.3344029451753
pairwise_max,9.46791790531874e-65,289.5673032777106
pairwise_mean,1.254038937038417e-62,279.77255222352954
centroid_dist_iqr,6.913034363199603e-58,257.8994032740611
std_dim_0,6.008717758808821e-55,244.34881430193659
std_dim_2,1.5748156031840306e-52,233.20374718891142
k_centroid_dist_mean,8.092859201670395e-49,216.11203640412717
std_dim_1,2.9121034479330293e-46,204.3459464475543
pairwise_q75,1.4751760972399932e-42,187.30383123188938
std_dim_3,6.381212580811765e-37,161.4040747473801
pairwise_q90,1.6706452575781824e-36,159.48474713905276
centroid_dist_max,2.381233285086299e-35,154.18719752220218
mst_max_mean_ratio,9.502180166129789e-33,142.25250690937446
k_alignment_error,1.6044857921675132e-31,136.62341044279617
aspect_ratio,6.266533702511866e-25,106.43830382838505
mst_edge_mean,6.20877660542279e-20,83.62294176297303
std_dim_4,4.3369963248488884e-18,75.21984979678874
grid_size,4.980725557520768e-12,47.71814559708516
mean_dim_0,1.3399526298428003e-11,45.77689749411705
mean_dim_1,1.668034079216095e-11,45.34751861255488
pairwise_std,1.3892762396561302e-08,32.2131383995013
pca_eigenvalue_ratio,1.6388303688924677e-08,31.89199734371257
k_centroid_dist_std,3.335422615018356e-08,30.511643133904396
mst_edge_max,3.531254241519873e-08,30.400894391928503
k_silhouette_score,2.3710503669740876e-07,26.711717458761356
pairwise_iqr,3.8914559549444534e-07,25.754420035890313
pca_ev_dim_0,7.658434908257087e-06,20.025573391228008
k_inter_centroid_mst_cost,0.00011746061134969284,14.835407826655807
mst_edge_std_ratio,0.00893186255115685,6.836944705708579
